place_id;nom;categorie_libertyk;type_cacherout;hekhsher;specialite;adresse_rue;code_postal;ville;region;telephone;note_google;nombre_avis;horaires;latitude;longitude;url_maps;statut_activite
"ChIJBloomyBrunchParis11e012";"Bloomy Brunch";"Salon de thé / Café";"Halavi - Lait Chamour";"Beth Din de Paris";"Salades & Poke Bowl";"189 Rue de Charonne";"75011";"Paris";"Île-de-France";"+33 1 43 70 88 99";"4.9";"380";"Dimanche-Jeudi: 09:30–17:00; Vendredi: 09:30–14:30; Samedi: Fermé";"48.8569";"2.3912";"https://maps.google.com/?cid=1029384756112";"OPERATIONAL"
"ChIJTikounOlamParis12e013";"Tikoun Olam";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Paris";"Bistronomie / Gastronomie";"136 Avenue Daumesnil";"75012";"Paris";"Île-de-France";"+33 1 43 43 04 22";"4.8";"260";"Lundi-Jeudi: 12:00–15:00, 19:30–23:00; Dimanche: 19:30–23:00; Vendredi-Samedi: Fermé";"48.8415";"2.3892";"https://maps.google.com/?cid=1029384756113";"OPERATIONAL"
"ChIJChlewParis16e014";"Chlew";"Fast-Food / Street Food";"Bassari (Viande)";"Beth Din de Paris";"Sandwicherie";"66 Avenue Victor Hugo";"75116";"Paris";"Île-de-France";"+33 1 75 43 99 99";"4.7";"520";"Dimanche-Jeudi: 11:30–23:00; Vendredi: 11:30–15:00; Samedi: Fermé";"48.8698";"2.2842";"https://maps.google.com/?cid=1029384756114";"OPERATIONAL"
"ChIJSushiWestParis16e015";"Sushi West";"Restaurant";"Parve (Neutre)";"Beth Din de Paris";"Sushi / Asiatique";"147 Rue de la Pompe";"75116";"Paris";"Île-de-France";"+33 1 45 53 11 11";"4.6";"450";"Dimanche-Jeudi: 11:30–15:00, 18:30–23:00; Vendredi: 11:30–14:30; Samedi: 19:30–23:30";"48.8681";"2.2789";"https://maps.google.com/?cid=1029384756115";"OPERATIONAL"
"ChIJBensonKfeParis17e016";"Benson Kfé";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Bistronomie / Gastronomie";"261 Boulevard Pereire";"75017";"Paris";"Île-de-France";"+33 1 45 74 60 52";"4.6";"430";"Lundi-Jeudi: 12:00–15:00, 19:30–23:00; Dimanche: 12:00–16:00, 19:30–23:00; Vendredi-Samedi: Fermé";"48.8821";"2.2965";"https://maps.google.com/?cid=1029384756116";"OPERATIONAL"
"ChIJChezFranckParis17e017";"Chez Franck";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Bistronomie / Gastronomie";"46 Rue Bayen";"75017";"Paris";"Île-de-France";"+33 1 45 72 11 74";"4.7";"310";"Lundi-Jeudi: 12:00–15:00, 19:30–23:00; Dimanche: 12:00–23:00; Vendredi: 11:30–15:00; Samedi: Fermé";"48.8812";"2.2934";"https://maps.google.com/?cid=1029384756117";"OPERATIONAL"
"ChIJDoronNielParis17e018";"Doron Niel";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Burger / Grillades";"73 Avenue Niel";"75017";"Paris";"Île-de-France";"+33 1 44 40 28 15";"4.6";"390";"Dimanche-Jeudi: 12:00–15:00, 19:30–23:00; Vendredi: 12:00–15:00; Samedi: Fermé";"48.8841";"2.2982";"https://maps.google.com/?cid=1029384756118";"OPERATIONAL"
"ChIJFlavioParis17e019";"Flavio Pizzeria";"Pizzeria / Snack";"Halavi - Lait Chamour";"Beth Din de Paris";"Pizza & Pâtes";"11 Rue Cardinet";"75017";"Paris";"Île-de-France";"+33 1 45 74 68 11";"4.8";"450";"Dimanche-Jeudi: 11:30–15:00, 18:30–23:00; Vendredi: 11:30–14:30; Samedi: 19:30–23:30";"48.8856";"2.3082";"https://maps.google.com/?cid=1029384756119";"OPERATIONAL"
"ChIJGabrielliParis17e020";"Gabrielli";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Burger / Grillades";"12 Rue d'Héliopolis";"75017";"Paris";"Île-de-France";"+33 1 44 09 00 08";"4.7";"380";"Dimanche-Jeudi: 12:00–15:00, 19:30–23:00; Vendredi: 12:00–14:30; Samedi: Fermé";"48.8849";"2.2995";"https://maps.google.com/?cid=1029384756120";"OPERATIONAL"
"ChIJGildaParis17e021";"Gilda Paris 17";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Plats traditionnels / Orientale";"78 Avenue des Ternes";"75017";"Paris";"Île-de-France";"+33 1 53 43 07 48";"4.6";"290";"Lundi-Jeudi: 12:00–15:00, 19:30–23:00; Dimanche: 12:00–23:00; Vendredi-Samedi: Fermé";"48.8789";"2.2891";"https://maps.google.com/?cid=1029384756121";"OPERATIONAL"
"ChIJMaisonGabrielParis17e022";"Maison Gabriel";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Paris";"Bistronomie / Gastronomie";"124 Avenue de Villiers";"75017";"Paris";"Île-de-France";"+33 9 81 11 86 85";"4.9";"490";"Lundi-Jeudi: 12:00–15:00, 19:30–23:30; Dimanche: 19:30–23:30; Vendredi-Samedi: Fermé";"48.8837";"2.3018";"https://maps.google.com/?cid=1029384756122";"OPERATIONAL"
"ChIJLaFilleDuBoucherParis17e023";"La Fille du Boucher";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Paris";"Burger / Grillades";"20 Rue Cardinet";"75017";"Paris";"Île-de-France";"+33 1 42 67 14 19";"4.7";"620";"Dimanche-Jeudi: 12:00–15:00, 19:30–23:00; Vendredi: 12:00–15:00; Samedi: Fermé";"48.8859";"2.3089";"https://maps.google.com/?cid=1029384756123";"OPERATIONAL"
"ChIJSafraneParis17e024";"Safrane";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Plats traditionnels / Orientale";"1 bis Rue des Colonels Renard";"75017";"Paris";"Île-de-France";"+33 1 58 62 13 59";"4.6";"220";"Dimanche-Jeudi: 12:00–15:00, 19:30–23:00; Vendredi: 12:00–14:30; Samedi: Fermé";"48.8778";"2.2902";"https://maps.google.com/?cid=1029384756124";"OPERATIONAL"
"ChIJSaikoParis19e025";"Saïko Sushi";"Restaurant";"Parve (Neutre)";"Beth Din de Paris";"Sushi / Asiatique";"4 Rue Armand Carrel";"75019";"Paris";"Île-de-France";"+33 1 45 00 66 66";"4.8";"370";"Dimanche-Jeudi: 11:30–15:00, 18:30–23:00; Vendredi: 11:30–14:30; Samedi: 19:30–23:30";"48.8824";"2.3789";"https://maps.google.com/?cid=1029384756125";"OPERATIONAL"
"ChIJDavAndJoGuichiParis19e026";"Dav and Jo Guichi";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Burger / Grillades";"49 Quai de la Seine";"75019";"Paris";"Île-de-France";"+33 1 40 05 13 50";"4.7";"440";"Dimanche-Jeudi: 12:00–15:00, 19:00–23:00; Vendredi: 11:30–14:30; Samedi: Fermé";"48.8858";"2.3721";"https://maps.google.com/?cid=1029384756126";"OPERATIONAL"
"ChIJAuxDelicesAvrahamParis19e027";"Aux Délices d'Avraham";"Restaurant";"Parve (Neutre)";"Beth Din de Paris";"Sushi / Asiatique";"87 Avenue Secrétan";"75019";"Paris";"Île-de-France";"+33 6 34 11 87 60";"4.6";"210";"Dimanche-Jeudi: 11:30–15:00, 18:30–22:30; Vendredi: 11:00–14:00; Samedi: Fermé";"48.8809";"2.3745";"https://maps.google.com/?cid=1029384756127";"OPERATIONAL"
"ChIJChezRafouParis19e028";"Chez Rafou";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Plats traditionnels / Orientale";"91 Avenue Secrétan";"75019";"Paris";"Île-de-France";"+33 7 51 32 78 00";"4.6";"310";"Dimanche-Jeudi: 11:30–23:00; Vendredi: 11:00–15:00; Samedi: Fermé";"48.8812";"2.3749";"https://maps.google.com/?cid=1029384756128";"OPERATIONAL"
"ChIJChezReneEtGabinParis20e029";"Chez René et Gabin";"Fast-Food / Street Food";"Bassari (Viande)";"Beth Din de Paris";"Sandwicherie";"232 Boulevard Voltaire";"75011";"Paris";"Île-de-France";"+33 1 43 73 60 76";"4.7";"890";"Dimanche-Jeudi: 11:00–23:30; Vendredi: 10:30–15:00; Samedi: Fermé";"48.8529";"2.3921";"https://maps.google.com/?cid=1029384756129";"OPERATIONAL"
"ChIJPatisserieBoazParis17e030";"Pâtisserie Boaz";"Pâtisserie / Boulangerie";"Halavi - Lait Chamour";"Beth Din de Paris";"Pâtisserie fine / Bagel / Viennoiserie";"38 Rue de Tocqueville";"75017";"Paris";"Île-de-France";"+33 1 42 27 50 50";"4.8";"320";"Dimanche-Jeudi: 07:30–19:30; Vendredi: 07:30–15:30; Samedi: Fermé";"48.8851";"2.3112";"https://maps.google.com/?cid=1029384756130";"OPERATIONAL"
"ChIJChezDanBoulogne92031";"Chez Dan Boulogne";"Restaurant";"Bassari (Viande)";"Beth Din de Paris";"Burger / Grillades";"110 Route de la Reine";"92100";"Boulogne-Billancourt";"Île-de-France";"+33 1 46 05 12 12";"4.7";"380";"Dimanche-Jeudi: 12:00–15:00, 19:30–23:00; Vendredi: 11:30–14:30; Samedi: Fermé";"48.8378";"2.2412";"https://maps.google.com/?cid=1029384756131";"OPERATIONAL"
"ChIJPatisserieShanaNeuilly92032";"Pâtisserie Shana";"Pâtisserie / Boulangerie";"Halavi - Lait Chamour";"Beth Din de Paris";"Pâtisserie fine / Bagel / Viennoiserie";"18 Rue de l'Hôtel de Ville";"92200";"Neuilly-sur-Seine";"Île-de-France";"+33 1 47 45 22 33";"4.8";"290";"Dimanche-Jeudi: 08:00–19:30; Vendredi: 08:00–15:30; Samedi: Fermé";"48.8841";"2.2689";"https://maps.google.com/?cid=1029384756132";"OPERATIONAL"
"ChIJLeKLevallois92033";"Le K Levallois";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Paris";"Bistronomie / Gastronomie";"55 Rue Aristide Briand";"92300";"Levallois-Perret";"Île-de-France";"+33 1 47 37 40 40";"4.7";"320";"Lundi-Jeudi: 12:00–14:30, 19:30–23:00; Dimanche: 19:30–23:00; Vendredi-Samedi: Fermé";"48.8932";"2.2865";"https://maps.google.com/?cid=1029384756133";"OPERATIONAL"
"ChIJTraiteurOhayonStMande94034";"Traiteur Ohayon";"Traiteur";"Bassari - Glatt Kosher";"Beth Din de Paris";"Plats traditionnels / Orientale";"22 Avenue du Général de Gaulle";"94160";"Saint-Mandé";"Île-de-France";"+33 1 43 28 55 66";"4.9";"240";"Dimanche-Jeudi: 09:00–19:30; Vendredi: 08:30–16:00; Samedi: Fermé";"48.8421";"2.4189";"https://maps.google.com/?cid=1029384756134";"OPERATIONAL"
"ChIJPizzaDinaStMande94035";"Pizza Dina";"Pizzeria / Snack";"Halavi - Lait Chamour";"Beth Din de Paris";"Pizza & Pâtes";"47 Rue de la République";"94160";"Saint-Mandé";"Île-de-France";"+33 1 43 98 12 12";"4.7";"390";"Dimanche-Jeudi: 11:30–15:00, 18:30–23:00; Vendredi: 11:30–14:30; Samedi: 19:30–23:30";"48.8435";"2.4201";"https://maps.google.com/?cid=1029384756135";"OPERATIONAL"
"ChIJBoulangerieDanVincennes94036";"Boulangerie Dan";"Pâtisserie / Boulangerie";"Parve (Neutre)";"Beth Din de Paris";"Pâtisserie fine / Bagel / Viennoiserie";"14 Avenue de Paris";"94300";"Vincennes";"Île-de-France";"+33 1 43 28 10 10";"4.8";"310";"Dimanche-Jeudi: 07:00–19:30; Vendredi: 07:00–15:30; Samedi: Fermé";"48.8472";"2.4351";"https://maps.google.com/?cid=1029384756136";"OPERATIONAL"
"ChIJChezYoniSarcelles95037";"Chez Yoni Grillades";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Paris";"Burger / Grillades";"14 Boulevard Henri Barbusse";"95200";"Sarcelles";"Île-de-France";"+33 1 39 90 25 25";"4.7";"460";"Dimanche-Jeudi: 11:30–23:00; Vendredi: 11:00–15:00; Samedi: Fermé";"48.9781";"2.3789";"https://maps.google.com/?cid=1029384756137";"OPERATIONAL"
"ChIJBoucherieTernesNeuilly92038";"Boucherie Kosher des Ternes";"Boucherie / Épicerie";"Bassari - Glatt Kosher";"Beth Din de Paris";"Burger / Grillades";"34 Avenue Achille Peretti";"92200";"Neuilly-sur-Seine";"Île-de-France";"+33 1 46 24 18 18";"4.9";"310";"Dimanche-Jeudi: 08:00–19:30; Vendredi: 08:00–15:30; Samedi: Fermé";"48.8839";"2.2712";"https://maps.google.com/?cid=1029384756138";"OPERATIONAL"
"ChIJLeMaimonideMarseille039";"Le Maïmonide";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Marseille";"Plats traditionnels / Orientale";"22 Rue Breteuil";"13006";"Marseille";"Provence-Alpes-Côte d'Azur";"+33 4 91 33 25 60";"4.8";"340";"Dimanche-Jeudi: 12:00–14:30, 19:30–22:30; Vendredi: 11:30–14:00; Samedi: Fermé";"43.2912";"5.3789";"https://maps.google.com/?cid=1029384756139";"OPERATIONAL"
"ChIJChezMichelKosherMarseille040";"Chez Michel Kosher";"Restaurant";"Bassari (Viande)";"Beth Din de Marseille";"Burger / Grillades";"155 Avenue du Prado";"13008";"Marseille";"Provence-Alpes-Côte d'Azur";"+33 4 91 79 30 30";"4.7";"410";"Dimanche-Jeudi: 12:00–15:00, 19:30–23:00; Vendredi: 11:30–14:30; Samedi: Fermé";"43.2789";"5.3856";"https://maps.google.com/?cid=1029384756140";"OPERATIONAL"
"ChIJPizzaBellaMarseille041";"Pizza Bella Kosher";"Pizzeria / Snack";"Halavi - Lait Chamour";"Beth Din de Marseille";"Pizza & Pâtes";"38 Rue Edmond Rostand";"13006";"Marseille";"Provence-Alpes-Côte d'Azur";"+33 4 91 37 12 12";"4.7";"380";"Dimanche-Jeudi: 11:30–14:30, 18:30–23:00; Vendredi: 11:30–14:00; Samedi: 19:30–23:30";"43.2878";"5.3802";"https://maps.google.com/?cid=1029384756141";"OPERATIONAL"
"ChIJPatisserieHaimMarseille042";"Pâtisserie Haïm";"Pâtisserie / Boulangerie";"Parve (Neutre)";"Beth Din de Marseille";"Pâtisserie fine / Bagel / Viennoiserie";"82 Rue de Rome";"13006";"Marseille";"Provence-Alpes-Côte d'Azur";"+33 4 91 54 20 20";"4.9";"420";"Dimanche-Jeudi: 07:30–19:30; Vendredi: 07:30–15:30; Samedi: Fermé";"43.2921";"5.3792";"https://maps.google.com/?cid=1029384756142";"OPERATIONAL"
"ChIJAixKosherGrill043";"Aix Kosher Grill";"Restaurant";"Bassari (Viande)";"Beth Din de Marseille";"Burger / Grillades";"14 Rue Mignet";"13100";"Aix-en-Provence";"Provence-Alpes-Côte d'Azur";"+33 4 42 21 34 34";"4.7";"190";"Dimanche-Jeudi: 12:00–14:30, 19:00–22:30; Vendredi: 11:30–14:00; Samedi: Fermé";"43.5298";"5.4489";"https://maps.google.com/?cid=1029384756143";"OPERATIONAL"
"ChIJShalomaNice044";"Le Shaloma";"Restaurant";"Bassari - Glatt Kosher";"Consistoire de Paris / Consistoire de France";"Plats traditionnels / Orientale";"44 Rue de France";"06000";"Nice";"Provence-Alpes-Côte d'Azur";"+33 4 93 88 56 78";"4.7";"380";"Dimanche-Jeudi: 12:00–15:00, 19:30–23:00; Vendredi: 11:30–14:30; Samedi: Fermé";"43.6965";"7.2589";"https://maps.google.com/?cid=1029384756144";"OPERATIONAL"
"ChIJLeTovelNice045";"Le Tovel";"Pizzeria / Snack";"Halavi - Lait Chamour";"Consistoire de Paris / Consistoire de France";"Pizza & Pâtes";"12 Rue Gounod";"06000";"Nice";"Provence-Alpes-Côte d'Azur";"+33 4 93 87 23 23";"4.7";"340";"Dimanche-Jeudi: 11:30–14:30, 18:30–22:30; Vendredi: 11:30–14:00; Samedi: 19:30–23:00";"43.6998";"7.2562";"https://maps.google.com/?cid=1029384756145";"OPERATIONAL"
"ChIJRouviCannes046";"Rouvi Kosher Cannes";"Restaurant";"Bassari - Glatt Kosher";"Loubavitch (Chabad)";"Bistronomie / Gastronomie";"22 Rue Commandant Vidal";"06400";"Cannes";"Provence-Alpes-Côte d'Azur";"+33 4 93 38 12 12";"4.9";"420";"Dimanche-Jeudi: 12:00–15:00, 19:30–23:30; Vendredi: 11:30–15:00; Samedi: Fermé";"43.5532";"7.0245";"https://maps.google.com/?cid=1029384756146";"OPERATIONAL"
"ChIJLeKingDavidLyon047";"Le King David";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Lyon";"Bistronomie / Gastronomie";"34 Rue Masséna";"69006";"Lyon";"Auvergne-Rhône-Alpes";"+33 4 78 89 22 22";"4.8";"370";"Dimanche-Jeudi: 12:00–14:30, 19:30–22:30; Vendredi: 11:30–14:00; Samedi: Fermé";"45.7689";"4.8562";"https://maps.google.com/?cid=1029384756147";"OPERATIONAL"
"ChIJPatisserieSchulerLyon048";"Pâtisserie Schuler";"Pâtisserie / Boulangerie";"Parve (Neutre)";"Beth Din de Lyon";"Pâtisserie fine / Bagel / Viennoiserie";"114 Cours Émile Zola";"69100";"Villeurbanne";"Auvergne-Rhône-Alpes";"+33 4 78 84 75 75";"4.9";"460";"Dimanche-Jeudi: 07:00–19:30; Vendredi: 07:00–15:00; Samedi: Fermé";"45.7701";"4.8712";"https://maps.google.com/?cid=1029384756148";"OPERATIONAL"
"ChIJPizzaLyonKosher049";"Pizza Lyon Kosher";"Pizzeria / Snack";"Halavi - Lait Chamour";"Beth Din de Lyon";"Pizza & Pâtes";"56 Rue de France";"69100";"Villeurbanne";"Auvergne-Rhône-Alpes";"+33 4 72 65 30 30";"4.7";"310";"Dimanche-Jeudi: 11:30–14:30, 18:30–23:00; Vendredi: 11:30–14:00; Samedi: 19:30–23:30";"45.7681";"4.8802";"https://maps.google.com/?cid=1029384756149";"OPERATIONAL"
"ChIJCedreAlsaceStrasbourg050";"Le Cèdre d'Alsace";"Restaurant";"Bassari - Glatt Kosher";"Beth Din de Strasbourg";"Plats traditionnels / Orientale";"1 Rue Thiergarten";"67000";"Strasbourg";"Grand Est";"+33 3 88 22 15 15";"4.8";"310";"Dimanche-Jeudi: 12:00–14:30, 19:00–22:30; Vendredi: 11:30–14:00; Samedi: Fermé";"48.5841";"7.7389";"https://maps.google.com/?cid=1029384756150";"OPERATIONAL"
"ChIJPatisserieGrossStrasbourg051";"Boulangerie Pâtisserie Gross";"Pâtisserie / Boulangerie";"Parve (Neutre)";"Beth Din de Strasbourg";"Pâtisserie fine / Bagel / Viennoiserie";"18 Rue Sainte-Hélène";"67000";"Strasbourg";"Grand Est";"+33 3 88 32 40 40";"4.9";"530";"Dimanche-Jeudi: 07:00–19:00; Vendredi: 07:00–15:00; Samedi: Fermé";"48.5823";"7.7441";"https://maps.google.com/?cid=1029384756151";"OPERATIONAL"
"ChIJShalomToulouse052";"Le Shalom Toulouse";"Restaurant";"Bassari - Glatt Kosher";"Consistoire de Paris / Consistoire de France";"Burger / Grillades";"15 Rue Riquet";"31000";"Toulouse";"Occitanie";"+33 5 61 62 45 45";"4.8";"290";"Dimanche-Jeudi: 12:00–14:30, 19:30–22:30; Vendredi: 11:30–14:00; Samedi: Fermé";"43.6045";"1.4532";"https://maps.google.com/?cid=1029384756152";"OPERATIONAL"
"ChIJPatisserieGuezToulouse053";"Boulangerie Pâtisserie Guez";"Pâtisserie / Boulangerie";"Parve (Neutre)";"Consistoire de Paris / Consistoire de France";"Pâtisserie fine / Bagel / Viennoiserie";"2 Place Saint-Étienne";"31000";"Toulouse";"Occitanie";"+33 5 61 52 80 80";"4.8";"340";"Dimanche-Jeudi: 07:30–19:30; Vendredi: 07:30–15:00; Samedi: Fermé";"43.5998";"1.4489";"https://maps.google.com/?cid=1029384756153";"OPERATIONAL"
